route #,# of schools
1,5
id,school name,time of arrival,start time,duration
1159,RIVER HEIGHTS AM,12:30,,1:05
1161,RIVER HEIGHTS AM,12:33,,1:08
1168,RIVER HEIGHTS AM,12:39,,1:14
1189,MILESTONES EDUC AM,12:39,,1:24
1039,BOUNCING BABIES AM,12:55,,0:56
1128,MILESTONES EDUC AM,13:16,,2:01

mean,median,standard deviation,max,min
0:53,0:55,0:25,2:01,0:07

route #,# of schools
5,3
id,school name,time of arrival,start time,duration
Pick Up Route
1187,ABC'S DAYCARE,7:00,,0:59
1036,BOUNCING BABIES AM,7:14,,1:10
1009,ABC'S DAYCARE,7:27,,0:32
1170,RIVER HEIGHTS AM,7:33,,1:01
1163,RIVER HEIGHTS AM,7:38,,0:56
1011,ABC'S DAYCARE,7:44,,0:15
1119,ABC'S DAYCARE,7:47,,0:12
1017,BOUNCING BABIES AM,7:51,,0:34
DROPOFF,ABC'S DAYCARE,8:00,8:00
1019,BOUNCING BABIES AM,8:23,,0:02
DROPOFF,BOUNCING BABIES AM,8:25,8:30
1166,RIVER HEIGHTS AM,8:30,,0:04
DROPOFF,RIVER HEIGHTS AM,8:35,8:45
Drop off Route
PICKUP,ABC'S DAYCARE,11:00,11:00
1011,ABC'S DAYCARE,11:09,,0:09
PICKUP,RIVER HEIGHTS AM,11:12,11:25
1166,RIVER HEIGHTS AM,11:25,,0:12
PICKUP,BOUNCING BABIES AM,11:29,11:45
1019,BOUNCING BABIES AM,11:45,,0:15
1017,BOUNCING BABIES AM,11:46,,0:16
1119,ABC'S DAYCARE,11:50,,0:50
1163,RIVER HEIGHTS AM,11:56,,0:43
1170,RIVER HEIGHTS AM,12:01,,0:48
1009,ABC'S DAYCARE,12:07,,1:07
1036,BOUNCING BABIES AM,12:19,,0:50
1187,ABC'S DAYCARE,12:34,,1:34

mean,median,standard deviation,max,min
0:37,0:38,0:25,1:34,0:02

route #,# of schools
6,2
id,school name,time of arrival,start time,duration
Pick Up Route
1179,RIVER HEIGHTS PM,10:41,,1:38
1120,BOUNCING BABIES PM,10:58,,1:01
1023,BOUNCING BABIES PM,11:16,,0:43
1026,BOUNCING BABIES PM,11:34,,0:25
1027,BOUNCING BABIES PM,11:45,,0:14
1034,BOUNCING BABIES PM,11:56,,0:03
DROPOFF,BOUNCING BABIES PM,12:00,12:00
1174,RIVER HEIGHTS PM,12:11,,0:08
DROPOFF,RIVER HEIGHTS PM,12:20,12:30
Drop off Route
PICKUP,RIVER HEIGHTS PM,3:20,3:20
1174,RIVER HEIGHTS PM,3:28,,0:08
PICKUP,BOUNCING BABIES PM,3:33,3:45
1034,BOUNCING BABIES PM,3:45,,0:11
1027,BOUNCING BABIES PM,3:56,,0:22
1026,BOUNCING BABIES PM,4:07,,0:33
1023,BOUNCING BABIES PM,4:25,,0:51
1120,BOUNCING BABIES PM,4:43,,1:09
