route #,# of schools
2.0,3
id,school name,time of arrival,start time,duration
1077,n/a,8:32,,0:28
1051,n/a,8:35,,0:25
1088,n/a,8:37,,0:23
DROPOFF,n/a,9:00,9:00

mean,median,standard deviation,max,min
0:36,0:29,0:15,1:03,0:23

route #,# of schools
91.0,1
id,school name,time of arrival,start time,duration
1095,n/a,7:54,,1:06
1082,n/a,7:59,,1:01
1084,n/a,8:04,,0:56
1087,n/a,8:07,,0:53
1052,n/a,8:10,,0:50
1046,n/a,8:12,,0:48
1042,n/a,8:15,,0:45
1045,n/a,8:17,,0:43
1096,n/a,8:19,,0:41
1086,n/a,8:21,,0:39
1050,n/a,8:25,,0:35
1056,n/a,8:27,,0:33
1076,n/a,8:31,,0:29
DROPOFF,n/a,9:00,9:00

mean,median,standard deviation,max,min
0:46,0:45,0:10,1:06,0:29

route #,# of schools
92.0,1
id,school name,time of arrival,start time,duration
1081,n/a,8:01,,0:59
1067,n/a,8:09,,0:51
1071,n/a,8:13,,0:47
1048,n/a,8:17,,0:43
1061,n/a,8:23,,0:37
1068,n/a,8:29,,0:31
DROPOFF,n/a,9:00,9:00

mean,median,standard deviation,max,min
0:44,0:45,0:09,0:59,0:31

