id,school name,time of arrival,arrival time,duration
1136,MILESTONES EDUC AM,12:38,,0:09
1219,SUNSHINE LEARNI,12:44,,0:09
1128,MILESTONES EDUC AM,13:11,,0:09
,,,,0:09
1187,ABC'S DAYCARE,7:00,,0:08
1036,BOUNCING BABIES AM,7:14,,0:08
1009,ABC'S DAYCARE,7:27,,0:08
1170,RIVER HEIGHTS AM,7:33,,0:08
1163,RIVER HEIGHTS AM,7:38,,0:08
1119,ABC'S DAYCARE,7:44,,0:08
1011,ABC'S DAYCARE,7:46,,0:08
1017,BOUNCING BABIES AM,7:51,,0:07
DROPOFF,ABC'S DAYCARE,8:00,8:00,0:07
1019,BOUNCING BABIES AM,8:23,,0:06
DROPOFF,BOUNCING BABIES AM,8:25,8:30,0:05
1166,RIVER HEIGHTS AM,8:30,,0:05
DROPOFF,RIVER HEIGHTS AM,8:35,8:45,0:05
PICKUP,ABC'S DAYCARE,11:00,11:00,0:05
1011,ABC'S DAYCARE,11:09,,0:05
PICKUP,RIVER HEIGHTS AM,11:12,11:25,0:05
1166,RIVER HEIGHTS AM,11:25,,0:04
PICKUP,BOUNCING BABIES AM,11:29,11:45,0:04
1017,BOUNCING BABIES AM,11:45,,0:03
1019,BOUNCING BABIES AM,11:46,,0:03
1119,ABC'S DAYCARE,11:48,,0:03
1163,RIVER HEIGHTS AM,11:54,,0:03
1170,RIVER HEIGHTS AM,12:00,,0:03
1009,ABC'S DAYCARE,12:06,,0:03
1036,BOUNCING BABIES AM,12:18,,0:02
1187,ABC'S DAYCARE,12:32,,0:02
,,,,0:02
1023,BOUNCING BABIES PM,10:39,,0:01
1179,RIVER HEIGHTS PM,11:04,,
1120,BOUNCING BABIES PM,11:21,,
1026,BOUNCING BABIES PM,11:34,,
1027,BOUNCING BABIES PM,11:45,,
1034,BOUNCING BABIES PM,11:56,,
DROPOFF,BOUNCING BABIES PM,12:00,12:00,
1174,RIVER HEIGHTS PM,12:11,,
DROPOFF,RIVER HEIGHTS PM,12:20,12:30,
